                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1212,                 4.3056,                 3.2132,                 1.4939,                0.00772,                0.76316,                0.06409,                0.02914,                0.00323,                0.26316,                0.03707,                0.01778,                 2.5554,                 4.9512,                 3.5001,                 2.4746,                 0.0928,                 0.0008,                 0.0008
                      1,                0.84017,                 2.8966,                 2.5943,                 1.2744,                0.41387,                0.52632,                0.43395,                0.25061,                0.58364,                0.30996,                0.33218,                0.16857,                 1.2136,                 4.1275,                 2.5513,                 1.4872,               0.084655,              0.0016545,              0.0016545
                      2,                0.68317,                 2.1305,                 1.7437,                 1.1889,                0.72567,                0.47368,                 0.5535,                0.42438,                 0.7641,                0.47368,                0.55103,                0.38232,                 1.0067,                 2.8409,                 1.8688,                 1.3157,               0.076461,              0.0024609,              0.0024609
                      3,                0.55848,                 1.6644,                 1.3072,                 1.1041,                0.71002,                 0.5991,                0.61036,                0.48376,                0.73785,                0.61739,                0.61906,                 0.4205,                0.91475,                 3.0078,                 1.5035,                 1.2779,               0.068219,              0.0032191,              0.0032191
                      4,                0.53682,                   1.48,                  1.065,                  1.084,                0.83545,                0.49741,                0.59557,                0.45258,                0.66844,                0.60526,                0.59279,                0.40975,                 0.9103,                 2.9301,                 1.5402,                 1.2153,               0.059929,              0.0039291,              0.0039291
                      5,                0.50096,                  1.353,                0.86296,                 1.0519,                0.71528,                0.53428,                0.53997,                0.40595,                 0.6368,                0.57531,                0.53022,                0.34663,                0.78539,                 3.1397,                 1.8073,                 1.1403,               0.051591,              0.0045909,              0.0045909
                      6,                0.50271,                 1.4036,                0.87697,                 1.0532,                0.69831,                0.60526,                0.56438,                0.43928,                0.74046,                0.55178,                0.53526,                0.39078,                0.92436,                 3.0314,                 1.6478,                 1.1919,               0.043205,              0.0052046,              0.0052046
                      7,                 0.4841,                 1.2734,                0.84076,                 1.0167,                0.69364,                0.62092,                0.61622,                0.49722,                0.68838,                0.62092,                0.61566,                0.44602,                0.92709,                 3.3516,                 1.4148,                 1.2356,                0.03477,              0.0057702,              0.0057702
                      8,                0.52253,                 1.4156,                0.71877,                 1.0347,                0.68022,                0.52632,                0.54805,                0.39122,                0.67177,                0.52632,                0.51253,                0.33771,                0.99016,                 3.4878,                 1.9521,                 1.2604,               0.026288,              0.0062876,              0.0062876
                      9,                0.51661,                 1.1857,                0.73103,                 1.0161,                0.62792,                0.64884,                0.59537,                0.45941,                0.63048,                0.64848,                0.60956,                0.39951,                 0.8601,                 3.3636,                 1.8006,                 1.1625,               0.017757,              0.0067568,              0.0067568
