                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2147,                 4.6037,                 3.2718,                 1.5413,                0.08605,                0.07895,                 0.0457,                0.02546,                0.08922,                0.07895,                0.03544,                0.02205,                 2.3058,                 5.6755,                 3.5812,                   2.35,                 0.0928,                 0.0008,                 0.0008
                      1,                0.86963,                 2.7104,                 2.4564,                 1.2843,                0.46344,                0.42105,                0.40978,                0.26913,                0.49201,                0.28947,                0.33198,                0.22252,                 1.0296,                 3.9707,                 2.6368,                 1.2461,               0.084655,              0.0016545,              0.0016545
                      2,                0.73248,                 2.1183,                 1.7765,                 1.2001,                0.56344,                0.55263,                0.49096,                0.37239,                0.56344,                0.55263,                0.48971,                0.33054,                0.97392,                 3.1951,                 2.0726,                 1.2102,               0.076461,              0.0024609,              0.0024609
                      3,                0.61057,                 1.8516,                 1.3593,                 1.1119,                0.73755,                0.57497,                0.55762,                 0.4437,                0.73755,                0.57497,                0.58602,                0.40669,                 0.9127,                 2.8771,                 1.7349,                 1.1916,               0.068219,              0.0032191,              0.0032191
                      4,                0.58433,                 1.6475,                 1.1187,                 1.0886,                0.62334,                0.61724,                 0.6546,                0.46601,                0.60012,                0.59154,                0.61452,                0.42237,                0.95844,                 2.7162,                 1.4345,                 1.1947,               0.059929,              0.0039291,              0.0039291
                      5,                0.53887,                 1.4277,                0.96806,                 1.0496,                0.56131,                0.57895,                0.62723,                0.47503,                0.56131,                0.57895,                0.61629,                0.43441,                0.91304,                 3.1463,                 1.8063,                 1.2133,               0.051591,              0.0045909,              0.0045909
                      6,                0.54056,                  1.532,                0.92013,                 1.0629,                0.80204,                0.60526,                0.63468,                0.47397,                0.83269,                0.63158,                0.64494,                0.42733,                0.95101,                 2.8441,                 1.4811,                 1.2521,               0.043205,              0.0052046,              0.0052046
                      7,                0.52105,                 1.2798,                0.85073,                 1.0292,                0.72765,                 0.5186,                0.56569,                0.38639,                0.72765,                 0.5186,                0.56467,                0.38913,                0.97329,                 2.6869,                 1.5602,                 1.2256,                0.03477,              0.0057702,              0.0057702
                      8,                0.52884,                 1.3694,                0.78718,                 1.0346,                0.66294,                0.52632,                0.54653,                0.34664,                0.66294,                0.52632,                0.52251,                0.30735,                0.97994,                 3.4324,                 1.7196,                 1.2671,               0.026288,              0.0062876,              0.0062876
                      9,                0.52544,                 1.2103,                0.74981,                 1.0293,                0.59791,                0.58821,                0.55815,                0.42893,                0.63552,                0.61257,                0.57549,                0.38588,                 1.0109,                  3.125,                 1.5589,                 1.2601,               0.017757,              0.0067568,              0.0067568
