                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2572,                 5.2892,                 3.3678,                 1.4614,                0.10283,                0.05263,                0.04277,                0.03052,                0.04679,                0.07895,                0.03106,                0.02039,                 2.3184,                  6.335,                 3.4044,                 2.2283,                 0.0928,                 0.0008,                 0.0008
                      1,                 1.0006,                 3.2524,                 2.5897,                 1.2954,                0.44082,                0.43941,                0.35307,                0.22298,                0.40281,                0.39474,                0.32237,                0.17853,                 1.2535,                 3.8712,                 2.4457,                 1.4134,               0.084655,              0.0016545,              0.0016545
                      2,                 0.8338,                 2.2785,                 1.8319,                 1.2196,                0.69991,                0.43884,                0.49404,                0.35374,                0.66789,                0.41341,                 0.4911,                0.29871,                 1.0634,                 3.2384,                 2.0253,                 1.2814,               0.076461,              0.0024609,              0.0024609
                      3,                0.67218,                 1.9748,                 1.4391,                 1.1149,                0.73754,                0.53879,                0.53077,                0.43196,                0.71763,                0.50787,                0.52166,                0.35716,                 0.9367,                 3.0813,                 1.8891,                 1.2082,               0.068219,              0.0032191,              0.0032191
                      4,                0.61192,                 1.7479,                  1.152,                  1.078,                0.61301,                0.53009,                0.53606,                 0.3957,                0.58316,                 0.5044,                0.51761,                0.36537,                 1.1825,                 2.8157,                 1.8097,                 1.3954,               0.059929,              0.0039291,              0.0039291
                      5,                0.58752,                 1.5828,                0.98413,                 1.0505,                0.53412,                0.58442,                0.52798,                0.38246,                0.70634,                0.52632,                0.55271,                0.32958,                 1.2856,                 3.1862,                 1.7667,                 1.5328,               0.051591,              0.0045909,              0.0045909
                      6,                0.59114,                 1.5595,                 1.0832,                 1.0731,                0.57277,                0.53365,                0.48879,                0.35017,                0.59134,                0.55262,                0.49266,                0.28324,                 1.1727,                 3.1404,                  1.893,                 1.4166,               0.043205,              0.0052046,              0.0052046
                      7,                0.57014,                 1.4201,                0.87762,                 1.0395,                0.69049,                0.56856,                 0.5434,                0.40702,                0.63422,                0.51663,                0.48835,                0.33774,                 1.3178,                 3.4718,                 1.7339,                 1.5407,                0.03477,              0.0057702,              0.0057702
                      8,                0.57954,                 1.5783,                0.80524,                 1.0405,                0.51131,                    0.5,                0.44302,                  0.288,                 0.5493,                0.52632,                 0.4401,                 0.2473,                 1.2136,                 3.1372,                 2.2924,                 1.4138,               0.026288,              0.0062876,              0.0062876
                      9,                0.58512,                 1.3676,                0.73297,                 1.0291,                0.55889,                0.44737,                0.44335,                0.24747,                 0.4821,                    0.5,                0.40573,                0.22446,                 1.2173,                 3.4766,                 2.1921,                 1.4172,               0.017757,              0.0067568,              0.0067568
                     10,                0.58287,                 1.3461,                0.78961,                 1.0263,                0.48654,                    0.5,                0.48098,                0.29424,                0.69542,                0.42105,                0.45639,                0.25187,                 1.3189,                 3.9444,                  2.481,                 1.4909,              0.0091778,              0.0071778,              0.0071778
                     11,                0.58656,                  1.542,                0.81123,                 1.0162,                0.50915,                0.57895,                0.44509,                0.25867,                0.50915,                0.57895,                0.43286,                0.19672,                 1.4791,                 4.1899,                 1.9782,                 1.6765,              0.0070568,              0.0070568,              0.0070568
                     12,                0.60922,                 1.5056,                0.75512,                 1.0264,                0.54403,                 0.5413,                0.47383,                0.31227,                0.49845,                0.49785,                0.41852,                0.23315,                  1.397,                  4.201,                 2.1212,                 1.5707,              0.0070568,              0.0070568,              0.0070568
                     13,                 0.6137,                 1.1717,                0.77984,                 1.0325,                0.39707,                 0.3078,                0.27708,                0.18402,                0.44694,                0.18421,                0.20398,                 0.0986,                  1.565,                 5.1838,                 2.5645,                 1.6375,              0.0067892,              0.0067892,              0.0067892
                     14,                0.58663,                 1.2438,                0.67919,                 1.0262,                 0.5612,                0.36842,                 0.3695,                0.25697,                 0.5612,                0.36842,                 0.3335,                0.16931,                 1.2582,                 4.4426,                 2.1709,                 1.4838,              0.0065216,              0.0065216,              0.0065216
                     15,                0.63283,                 1.2888,                0.72428,                 1.0459,                0.67846,                0.47368,                0.49359,                0.38109,                0.67846,                0.47368,                0.46034,                0.29012,                 1.1866,                 3.3006,                 1.8683,                 1.4125,              0.0062541,              0.0062541,              0.0062541
                     16,                0.61555,                  1.324,                0.71277,                 1.0397,                0.50334,                0.50574,                0.46583,                0.34653,                0.53292,                0.48696,                0.44396,                0.26327,                 1.2447,                 3.0859,                 1.9556,                  1.425,              0.0059865,              0.0059865,              0.0059865
                     17,                0.57914,                 1.2097,                0.62103,                0.99411,                0.59878,                0.44737,                0.46835,                0.34351,                0.56186,                0.42105,                0.41734,                0.27694,                 1.2744,                 2.8757,                 1.9169,                  1.509,              0.0057189,              0.0057189,              0.0057189
                     18,                0.59604,                 1.1632,                0.66761,                 1.0287,                 0.5339,                0.42105,                0.43545,                0.26747,                0.56752,                0.44737,                0.40495,                0.22639,                 1.2931,                 3.5326,                 2.0253,                 1.5953,              0.0054514,              0.0054514,              0.0054514
                     19,                0.58464,                 1.1727,                0.68406,                 1.0175,                0.78184,                0.44737,                0.50008,                0.33829,                 0.7391,                0.42105,                0.47217,                0.32853,                 1.2604,                 2.9223,                 1.9684,                 1.4581,              0.0051838,              0.0051838,              0.0051838
                     20,                0.55375,                 1.1909,                0.58762,                0.99689,                0.79614,                0.39474,                0.51167,                0.38107,                0.83842,                0.42105,                0.50542,                0.35964,                  1.151,                 2.8369,                 1.8711,                 1.3664,              0.0049162,              0.0049162,              0.0049162
                     21,                0.53412,                  1.109,                0.57318,                0.99716,                0.73516,                0.39474,                0.48433,                0.37079,                0.78032,                0.42105,                0.48344,                0.34753,                 1.1324,                 3.3162,                 2.0337,                 1.4255,              0.0046486,              0.0046486,              0.0046486
                     22,                0.57985,                 1.1569,                 0.5933,                 1.0218,                0.78654,                0.47368,                0.59913,                 0.4319,                0.83076,                    0.5,                0.61269,                0.40648,                 1.1067,                 3.5834,                 1.4543,                 1.4262,              0.0043811,              0.0043811,              0.0043811
                     23,                0.55631,                 1.1283,                 0.6031,                0.99787,                0.65609,                0.55263,                0.59724,                0.39405,                0.66277,                0.44737,                0.50007,                0.36564,                 1.1532,                 4.1391,                  1.659,                 1.4735,              0.0041135,              0.0041135,              0.0041135
                     24,                0.53495,                 1.0536,                0.58076,                0.96753,                0.64395,                0.57895,                 0.5963,                0.42554,                0.67334,                0.52632,                0.55816,                0.37931,                 1.1493,                 4.0554,                 1.5328,                  1.427,              0.0038459,              0.0038459,              0.0038459
                     25,                0.56201,                 1.0297,                0.56171,                 1.0258,                0.76163,                0.52632,                0.58381,                0.39037,                0.67704,                0.47368,                0.54248,                0.35585,                 1.1537,                 4.7274,                 1.7749,                 1.4157,              0.0035784,              0.0035784,              0.0035784
                     26,                0.48565,                 1.0077,                0.48156,                0.98109,                0.55351,                0.61611,                0.55186,                0.40248,                0.59035,                0.52583,                0.51727,                 0.3225,                 1.0643,                 4.0466,                 1.6139,                 1.3075,              0.0033108,              0.0033108,              0.0033108
                     27,                0.51649,                 1.1261,                0.56448,                0.98502,                0.60946,                0.63158,                0.63226,                0.48281,                0.60946,                0.63158,                0.59944,                0.42436,                0.99792,                 3.0653,                  1.339,                 1.2446,              0.0030432,              0.0030432,              0.0030432
                     28,                0.49421,                 1.0306,                0.49097,                0.97241,                0.67907,                0.63158,                0.63699,                0.44876,                0.67907,                0.63158,                0.60742,                0.39131,                 1.1229,                 3.0579,                 1.3935,                 1.3772,              0.0027757,              0.0027757,              0.0027757
                     29,                 0.4894,                 1.0824,                0.50048,                0.95768,                0.76595,                    0.5,                0.59452,                 0.4166,                0.58283,                0.59768,                0.56637,                0.37306,                 1.1293,                 3.0354,                 1.6412,                 1.3906,              0.0025081,              0.0025081,              0.0025081
                     30,                0.49717,                0.89981,                0.47542,                0.97952,                0.73247,                    0.5,                0.51912,                0.38798,                 0.5726,                0.56495,                0.52421,                0.36539,                 1.0177,                   2.89,                 1.8286,                 1.3075,              0.0022405,              0.0022405,              0.0022405
                     31,                0.50882,                 1.0332,                0.49758,                0.98729,                0.60376,                0.60526,                0.55074,                0.41908,                0.60552,                0.60526,                0.54791,                0.39014,                 1.0261,                 2.8094,                 1.7138,                  1.286,               0.001973,               0.001973,               0.001973
                     32,                0.46444,                 1.1305,                0.45523,                0.95393,                0.75304,                0.47368,                0.53253,                0.39799,                0.61978,                0.55263,                0.52451,                 0.3752,                 1.0922,                 2.6971,                 1.8402,                 1.3545,              0.0017054,              0.0017054,              0.0017054
                     33,                0.50512,                 1.1086,                 0.4821,                0.97918,                0.77419,                0.47368,                0.52326,                0.40179,                  0.632,                0.55238,                0.52062,                0.37375,                 1.0639,                 2.6528,                 1.7914,                 1.3232,              0.0014378,              0.0014378,              0.0014378
                     34,                0.45905,                0.99819,                0.44661,                0.94058,                0.76126,                0.47368,                0.53579,                0.39482,                0.61982,                0.55121,                0.52991,                0.38277,                 1.1059,                 2.6101,                 1.7556,                 1.3295,              0.0011703,              0.0011703,              0.0011703
                     35,                0.43971,                0.89683,                0.44455,                0.95839,                0.70273,                0.57601,                0.54528,                0.41203,                0.70273,                0.57601,                0.54157,                0.39369,                 1.0581,                 2.7041,                   1.68,                 1.2948,              0.0009027,              0.0009027,              0.0009027
                     36,                0.45383,                0.86455,                0.43059,                0.94241,                 0.6649,                0.52632,                0.56026,                0.42344,                0.65909,                0.58671,                0.55697,                0.39785,                  1.018,                 2.7532,                 1.6882,                 1.2824,             0.00063514,             0.00063514,             0.00063514
